time,num_collisions,num_null_collisions,num_electrons,num_cations,num_anions,mean_energy,mean_position_x,mean_position_y,mean_position_z,var_position_x,var_position_y,var_position_z,mean_velocity_x,mean_velocity_y,mean_velocity_z,mean_velocity_moment_x,mean_velocity_moment_y,mean_velocity_moment_z
2.463401025696684e-12,975.0,9025.0,10000.0,0.0,0.0,2.520315262896664,9.97010961813201e-10,-1.1247482114574086e-09,2.577476590361823e-07,5.019674424169412e-14,5.0461816073801896e-14,2.164791265497634e-14,-2935.4332894878885,-5510.660211194332,82506.0654216187,0.017062753241036715,0.01696702843176327,0.029557736870619227
2.4702482857631826e-12,1366.0,8634.0,10000.0,0.0,0.0,2.522905865528639,9.883515533812046e-10,-1.1560931075154473e-09,2.582318491557112e-07,5.040509369829406e-14,5.066622559363848e-14,2.174249120170448e-14,-1264.6530652988515,-4577.728281623089,77981.95713444192,0.016219241470532556,0.01593533247524812,0.028051111054292262
2.4726541729042737e-12,1613.0,8387.0,10000.0,0.0,0.0,2.5206789580019837,9.847063138622212e-10,-1.1611080997463312e-09,2.5836674136494434e-07,5.046498153579155e-14,5.0729557693101035e-14,2.1767998913553936e-14,-1515.1332149897955,-2084.46694993711,58621.62086819235,0.01279792737889734,0.013521524404197134,0.020798950318243723
2.476255102299211e-12,1647.0,8353.0,10000.0,0.0,0.0,2.5191297991900177,9.697183152860836e-10,-1.1666350900566657e-09,2.5853232580421966e-07,5.053830538999925e-14,5.0813208740974e-14,2.1793953190848247e-14,-4162.258387295483,-1534.8788338107818,49806.51723079096,0.010710821008232146,0.012147352741828986,0.017007408897602907
2.488767982612309e-12,693.0,9307.0,10000.0,0.0,0.0,2.527200157221612,9.50126137104551e-10,-1.177381038624486e-09,2.592690646386853e-07,5.083689091623422e-14,5.114336410864604e-14,2.19364980497698e-14,-1565.7608553184211,-858.7909657035623,72161.98707889178,0.013780646071196613,0.015036376252598094,0.02624078324162017
2.4960475040630068e-12,1426.0,8574.0,10000.0,0.0,0.0,2.528944602474383,9.504907353532549e-10,-1.1551475826526657e-09,2.5970422550680194e-07,5.100605633908496e-14,5.134420731768187e-14,2.202740007010875e-14,50.085469377746804,3054.246920268183,67506.64213170284,0.012694927147482741,0.014865836069210027,0.024846828866194347
2.500702682761918e-12,1602.0,8398.0,10000.0,0.0,0.0,2.5270624756973032,9.699980963805051e-10,-1.180391110337991e-09,2.5995376837884777e-07,5.112426655883479e-14,5.146778737006062e-14,2.2084580383344658e-14,4190.4644888957755,-5422.676403642884,58547.325195028876,0.013382527139158834,0.013967346975576712,0.02205277671797334
2.5062482654006816e-12,1566.0,8434.0,10000.0,0.0,0.0,2.5267583364041735,9.80451620904126e-10,-1.1840901558118475e-09,2.6022464092559206e-07,5.125975001232771e-14,5.160661245225061e-14,2.2139217903017667e-14,1885.0182576940701,-667.0255796027042,54731.8765803718,0.013021992838607818,0.013332792538726318,0.02000502348820822
2.514759458649405e-12,1220.0,8780.0,10000.0,0.0,0.0,2.5301201057408456,1.01300331541114e-09,-1.1723222965792087e-09,2.606365354763871e-07,5.150445464114977e-14,5.1820131183897426e-14,2.2231424633092866e-14,3824.574716582477,1382.633302845456,57429.85275362686,0.015628010102099573,0.013790806228442839,0.021660811125318067
2.5177109571907367e-12,1639.0,8361.0,10000.0,0.0,0.0,2.529387705335849,1.0291895326749377e-09,-1.1825619114523076e-09,2.6077327323908446e-07,5.158516792127549e-14,5.189743356812403e-14,2.226390590621917e-14,5484.06751252975,-3469.293557054739,49461.53183198939,0.014114408556220545,0.01353547305141754,0.0188387059318291
